epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,5530.17,0.86603,0.78535,1.20724,0.92499,0.88435,0.95514,0.83133,0.63454,0.49826,1.02997,0.000346473,0.000346473,0.000346473
113,5579.23,0.84996,0.75201,1.19315,0.91871,0.89645,0.95819,0.8321,0.64874,0.49387,1.03193,0.000342666,0.000342666,0.000342666
114,5628.51,0.85553,0.76358,1.19429,0.92116,0.89444,0.95577,0.82979,0.65455,0.49669,1.03317,0.00033886,0.00033886,0.00033886
115,5677.79,0.86078,0.76316,1.20089,0.92515,0.88419,0.95573,0.82749,0.65237,0.49244,1.03884,0.000335053,0.000335053,0.000335053
116,5727.08,0.8478,0.74877,1.19076,0.92211,0.89417,0.9568,0.8229,0.66268,0.49652,1.03753,0.000331247,0.000331247,0.000331247
117,5776.29,0.85427,0.76493,1.19817,0.91045,0.91034,0.95748,0.83475,0.64037,0.48238,1.02759,0.00032744,0.00032744,0.00032744
118,5825.59,0.86358,0.76924,1.19768,0.9212,0.89424,0.95617,0.83367,0.63952,0.48632,1.02459,0.000323634,0.000323634,0.000323634
119,5874.58,0.85632,0.75274,1.19484,0.92784,0.8993,0.95905,0.82536,0.68388,0.49067,1.04464,0.000319827,0.000319827,0.000319827
120,5923.76,0.83532,0.74002,1.18472,0.92653,0.89997,0.96029,0.83553,0.6381,0.47718,1.02761,0.000316021,0.000316021,0.000316021
121,5972.9,0.86055,0.7624,1.19518,0.90289,0.91533,0.95675,0.82775,0.65778,0.48525,1.03365,0.000312214,0.000312214,0.000312214
122,6022.2,0.84795,0.74658,1.18831,0.90071,0.91588,0.95698,0.83588,0.64236,0.48037,1.03336,0.000308407,0.000308407,0.000308407
123,6071.54,0.84305,0.74319,1.18646,0.92418,0.90123,0.959,0.82794,0.67056,0.4794,1.04396,0.000304601,0.000304601,0.000304601
124,6120.55,0.85473,0.76888,1.19179,0.91383,0.91172,0.95841,0.8192,0.69934,0.48928,1.05965,0.000300794,0.000300794,0.000300794
125,6169.74,0.85702,0.76195,1.19696,0.92769,0.90043,0.95704,0.82009,0.70138,0.49289,1.05322,0.000296988,0.000296988,0.000296988
126,6218.55,0.83665,0.74778,1.19296,0.92136,0.90197,0.95848,0.82514,0.68845,0.48343,1.04734,0.000293181,0.000293181,0.000293181
127,6267.84,0.83699,0.73773,1.18263,0.92915,0.90469,0.96113,0.82156,0.69631,0.4757,1.04524,0.000289375,0.000289375,0.000289375
128,6316.8,0.84141,0.74179,1.18836,0.92459,0.90502,0.95832,0.82818,0.66049,0.48225,1.03172,0.000285568,0.000285568,0.000285568
129,6366.06,0.8373,0.74396,1.18893,0.92781,0.91,0.96286,0.83918,0.63914,0.46572,1.02396,0.000281762,0.000281762,0.000281762
130,6414.96,0.84391,0.74985,1.18785,0.92506,0.9067,0.95969,0.83274,0.65462,0.4758,1.03293,0.000277955,0.000277955,0.000277955
131,6464.33,0.84769,0.75044,1.19025,0.92996,0.90257,0.96131,0.83708,0.64116,0.46,1.02751,0.000274148,0.000274148,0.000274148
132,6513.35,0.8388,0.726,1.1873,0.92722,0.90321,0.96042,0.83543,0.64837,0.46796,1.02621,0.000270342,0.000270342,0.000270342
133,6562.64,0.84715,0.74823,1.19235,0.9272,0.9011,0.95969,0.83365,0.65494,0.46774,1.03044,0.000266535,0.000266535,0.000266535
134,6611.6,0.83534,0.7294,1.18358,0.91729,0.90793,0.95835,0.8303,0.66296,0.4828,1.03206,0.000262729,0.000262729,0.000262729
135,6660.56,0.83881,0.72758,1.18479,0.92742,0.89489,0.95657,0.8354,0.63417,0.48511,1.02098,0.000258922,0.000258922,0.000258922
136,6709.55,0.83639,0.73558,1.18587,0.92332,0.90796,0.95901,0.83608,0.64076,0.47581,1.02834,0.000255116,0.000255116,0.000255116
137,6758.79,0.82482,0.72587,1.18104,0.91403,0.90365,0.95809,0.82823,0.66577,0.47657,1.04183,0.000251309,0.000251309,0.000251309
138,6807.9,0.83627,0.73834,1.18643,0.92926,0.90311,0.9599,0.83588,0.65445,0.47586,1.03025,0.000247503,0.000247503,0.000247503
139,6857.25,0.83188,0.72727,1.18559,0.93011,0.90244,0.95959,0.83358,0.65474,0.47019,1.03016,0.000243696,0.000243696,0.000243696
140,6906.36,0.83227,0.7337,1.18098,0.91834,0.90719,0.96029,0.84286,0.62052,0.4694,1.01547,0.00023989,0.00023989,0.00023989
141,6955.62,0.82771,0.71793,1.17658,0.91357,0.91471,0.96131,0.8444,0.6207,0.46381,1.01478,0.000236083,0.000236083,0.000236083
142,7004.95,0.83177,0.72778,1.17839,0.93626,0.88389,0.95842,0.83659,0.64648,0.47846,1.02702,0.000232276,0.000232276,0.000232276
143,7054.33,0.8304,0.73044,1.17772,0.93077,0.90459,0.96085,0.83677,0.649,0.4619,1.0264,0.00022847,0.00022847,0.00022847
144,7103.49,0.82331,0.7079,1.17063,0.92045,0.91637,0.95955,0.83953,0.64187,0.4614,1.02111,0.000224663,0.000224663,0.000224663
145,7152.72,0.81808,0.6963,1.16899,0.92931,0.90615,0.95839,0.83399,0.65368,0.46882,1.02587,0.000220857,0.000220857,0.000220857
146,7201.79,0.81146,0.70425,1.16761,0.93323,0.89727,0.9589,0.84569,0.61237,0.4624,1.00987,0.00021705,0.00021705,0.00021705
147,7250.93,0.83312,0.71595,1.1788,0.9177,0.90824,0.95815,0.83957,0.6277,0.47139,1.01444,0.000213244,0.000213244,0.000213244
148,7300,0.81162,0.69591,1.17316,0.9241,0.90636,0.96009,0.84378,0.62431,0.45476,1.01541,0.000209437,0.000209437,0.000209437
